PERMNO,date,COMNAM,RET,vwretd
76661,01/31/2007,ISIS PHARMACEUTICALS INC,-0.065647,0.019397
76661,02/28/2007,ISIS PHARMACEUTICALS INC,-0.122233,-0.013988
76661,03/30/2007,ISIS PHARMACEUTICALS INC,0.016447,0.012950
76661,04/30/2007,ISIS PHARMACEUTICALS INC,0.103560,0.039815
76661,05/31/2007,ISIS PHARMACEUTICALS INC,-0.016618,0.038932
76661,06/29/2007,ISIS PHARMACEUTICALS INC,-0.037773,-0.014765
76661,07/31/2007,ISIS PHARMACEUTICALS INC,0.075413,-0.031760
76661,08/31/2007,ISIS PHARMACEUTICALS INC,0.185399,0.011630
76661,09/28/2007,ISIS PHARMACEUTICALS INC,0.213128,0.040842
76661,10/31/2007,ISIS PHARMACEUTICALS INC,0.177021,0.025796
76661,11/30/2007,ISIS PHARMACEUTICALS INC,0.003973,-0.049327
76661,12/31/2007,ISIS PHARMACEUTICALS INC,-0.109667,-0.004423
76661,01/31/2008,ISIS PHARMACEUTICALS INC,-0.009524,-0.062138
76661,02/29/2008,ISIS PHARMACEUTICALS INC,-0.076923,-0.021663
76661,03/31/2008,ISIS PHARMACEUTICALS INC,-0.020139,-0.010421
76661,04/30/2008,ISIS PHARMACEUTICALS INC,-0.165131,0.051060
76661,05/30/2008,ISIS PHARMACEUTICALS INC,0.200340,0.023808
76661,06/30/2008,ISIS PHARMACEUTICALS INC,-0.036068,-0.078426
76661,07/31/2008,ISIS PHARMACEUTICALS INC,0.256786,-0.013341
76661,08/29/2008,ISIS PHARMACEUTICALS INC,0.032107,0.010566
76661,09/30/2008,ISIS PHARMACEUTICALS INC,-0.044683,-0.097980
76661,10/31/2008,ISIS PHARMACEUTICALS INC,-0.167555,-0.184648
76661,11/28/2008,ISIS PHARMACEUTICALS INC,-0.184211,-0.084615
76661,12/31/2008,ISIS PHARMACEUTICALS INC,0.236269,0.022154
76661,01/30/2009,ISIS PHARMACEUTICALS INC,-0.003526,-0.077315
76661,02/27/2009,ISIS PHARMACEUTICALS INC,-0.089880,-0.100271
76661,03/31/2009,ISIS PHARMACEUTICALS INC,0.167185,0.086748
76661,04/30/2009,ISIS PHARMACEUTICALS INC,0.044637,0.109352
76661,05/29/2009,ISIS PHARMACEUTICALS INC,-0.119898,0.067774
76661,06/30/2009,ISIS PHARMACEUTICALS INC,0.195652,-0.003099
76661,07/31/2009,ISIS PHARMACEUTICALS INC,0.107879,0.081752
76661,08/31/2009,ISIS PHARMACEUTICALS INC,-0.117068,0.031469
76661,09/30/2009,ISIS PHARMACEUTICALS INC,-0.097274,0.045216
76661,10/30/2009,ISIS PHARMACEUTICALS INC,-0.130405,-0.027971
76661,11/30/2009,ISIS PHARMACEUTICALS INC,-0.154696,0.057117
76661,12/31/2009,ISIS PHARMACEUTICALS INC,0.037348,0.028430
76661,01/29/2010,ISIS PHARMACEUTICALS INC,0.004500,-0.037098
76661,02/26/2010,ISIS PHARMACEUTICALS INC,-0.207885,0.034786
76661,03/31/2010,ISIS PHARMACEUTICALS INC,0.236425,0.063626
76661,04/30/2010,ISIS PHARMACEUTICALS INC,-0.015554,0.020063
76661,05/28/2010,ISIS PHARMACEUTICALS INC,-0.144981,-0.079163
76661,06/30/2010,ISIS PHARMACEUTICALS INC,0.040217,-0.050745
76661,07/30/2010,ISIS PHARMACEUTICALS INC,0.033438,0.070309
76661,08/31/2010,ISIS PHARMACEUTICALS INC,-0.210313,-0.042844
76661,09/30/2010,ISIS PHARMACEUTICALS INC,0.075544,0.091547
76661,10/29/2010,ISIS PHARMACEUTICALS INC,0.088095,0.038512
76661,11/30/2010,ISIS PHARMACEUTICALS INC,0.032276,0.005125
76661,12/31/2010,ISIS PHARMACEUTICALS INC,0.072602,0.067205
76661,01/31/2011,ISIS PHARMACEUTICALS INC,-0.100790,0.019137
76661,02/28/2011,ISIS PHARMACEUTICALS INC,0.002198,0.038175
76661,03/31/2011,ISIS PHARMACEUTICALS INC,-0.008772,0.003353
76661,04/29/2011,ISIS PHARMACEUTICALS INC,0.037611,0.028667
76661,05/31/2011,ISIS PHARMACEUTICALS INC,-0.015992,-0.014900
76661,06/30/2011,ISIS PHARMACEUTICALS INC,-0.007584,-0.018388
76661,07/29/2011,ISIS PHARMACEUTICALS INC,-0.056769,-0.022524
76661,08/31/2011,ISIS PHARMACEUTICALS INC,-0.133102,-0.057498
76661,09/30/2011,ISIS PHARMACEUTICALS INC,-0.094793,-0.084862
76661,10/31/2011,ISIS PHARMACEUTICALS INC,0.222714,0.114030
76661,11/30/2011,ISIS PHARMACEUTICALS INC,-0.104946,-0.006207
76661,12/30/2011,ISIS PHARMACEUTICALS INC,-0.028302,0.003696
76661,01/31/2012,ISIS PHARMACEUTICALS INC,0.131761,0.054095
76661,02/29/2012,ISIS PHARMACEUTICALS INC,0.116422,0.041239
76661,03/30/2012,ISIS PHARMACEUTICALS INC,-0.037322,0.024004
76661,04/30/2012,ISIS PHARMACEUTICALS INC,-0.087799,-0.006806
76661,05/31/2012,ISIS PHARMACEUTICALS INC,0.236250,-0.065574
76661,06/29/2012,ISIS PHARMACEUTICALS INC,0.213347,0.038189
76661,07/31/2012,ISIS PHARMACEUTICALS INC,0.010000,0.010284
